Channel:,Lum
Means:,346.3792
Note: Peaks measured from 20% upward
Peaks:,147
PeaksLevels:,838
0, 0
1, 4491
2, 12278
3, 19477
4, 33579
5, 49779
6, 67009
7, 79271
8, 83040
9, 82917
10, 74789
11, 63894
12, 53166
13, 43355
14, 35772
15, 28784
16, 22501
17, 18074
18, 14796
19, 11784
20, 9687
21, 7910
22, 6606
23, 5577
24, 4628
25, 3850
26, 3313
27, 2772
28, 2280
29, 2030
30, 1838
31, 1692
32, 1439
33, 1315
34, 1224
35, 1163
36, 1115
37, 996
38, 992
39, 875
40, 885
41, 785
42, 850
43, 848
44, 782
45, 748
46, 685
47, 722
48, 718
49, 677
50, 683
51, 683
52, 648
53, 648
54, 698
55, 628
56, 545
57, 572
58, 585
59, 596
60, 601
61, 551
62, 586
63, 552
64, 552
65, 533
66, 568
67, 505
68, 523
69, 578
70, 516
71, 569
72, 545
73, 536
74, 502
75, 513
76, 471
77, 470
78, 526
79, 473
80, 484
81, 480
82, 490
83, 481
84, 468
85, 490
86, 436
87, 461
88, 466
89, 484
90, 441
91, 464
92, 460
93, 470
94, 439
95, 469
96, 413
97, 427
98, 460
99, 453
100, 427
101, 414
102, 424
103, 467
104, 401
105, 369
106, 368
107, 410
108, 428
109, 362
110, 367
111, 409
112, 402
113, 364
114, 389
115, 364
116, 396
117, 385
118, 394
119, 378
120, 396
121, 375
122, 383
123, 364
124, 383
125, 353
126, 366
127, 372
128, 370
129, 335
130, 394
131, 344
132, 381
133, 341
134, 332
135, 370
136, 348
137, 357
138, 365
139, 363
140, 337
141, 371
142, 334
143, 333
144, 360
145, 351
146, 330
147, 357
148, 341
149, 336
150, 332
151, 342
152, 308
153, 325
154, 339
155, 315
156, 330
157, 356
158, 313
159, 340
160, 317
161, 286
162, 315
163, 312
164, 295
165, 304
166, 341
167, 288
168, 300
169, 316
170, 317
171, 306
172, 300
173, 298
174, 315
175, 323
176, 301
177, 301
178, 326
179, 307
180, 277
181, 299
182, 312
183, 260
184, 317
185, 290
186, 284
187, 294
188, 280
189, 286
190, 294
191, 269
192, 290
193, 305
194, 301
195, 274
196, 304
197, 321
198, 276
199, 273
200, 294
201, 275
202, 251
203, 300
204, 299
205, 289
206, 284
207, 253
208, 247
209, 287
210, 289
211, 276
212, 273
213, 241
214, 261
215, 272
216, 265
217, 263
218, 299
219, 278
220, 263
221, 255
222, 264
223, 284
224, 251
225, 238
226, 245
227, 294
228, 260
229, 251
230, 244
231, 252
232, 277
233, 277
234, 257
235, 234
236, 250
237, 234
238, 282
239, 261
240, 236
241, 242
242, 277
243, 249
244, 242
245, 253
246, 260
247, 267
248, 288
249, 261
250, 284
251, 237
252, 231
253, 237
254, 239
255, 255
256, 246
257, 246
258, 262
259, 272
260, 236
261, 264
262, 226
263, 245
264, 218
265, 261
266, 254
267, 260
268, 265
269, 225
270, 235
271, 266
272, 256
273, 231
274, 242
275, 260
276, 238
277, 230
278, 218
279, 255
280, 242
281, 253
282, 222
283, 247
284, 225
285, 233
286, 235
287, 246
288, 238
289, 229
290, 240
291, 244
292, 225
293, 253
294, 206
295, 219
296, 224
297, 259
298, 220
299, 222
300, 193
301, 230
302, 209
303, 245
304, 215
305, 230
306, 226
307, 196
308, 225
309, 211
310, 231
311, 238
312, 218
313, 226
314, 233
315, 233
316, 217
317, 240
318, 239
319, 222
320, 226
321, 220
322, 257
323, 236
324, 240
325, 265
326, 225
327, 214
328, 191
329, 205
330, 215
331, 205
332, 243
333, 202
334, 229
335, 191
336, 208
337, 238
338, 240
339, 229
340, 242
341, 240
342, 213
343, 239
344, 215
345, 242
346, 209
347, 211
348, 220
349, 225
350, 229
351, 190
352, 229
353, 246
354, 186
355, 217
356, 213
357, 214
358, 193
359, 220
360, 200
361, 221
362, 208
363, 193
364, 235
365, 213
366, 199
367, 194
368, 224
369, 169
370, 204
371, 219
372, 216
373, 236
374, 215
375, 188
376, 248
377, 201
378, 227
379, 211
380, 221
381, 245
382, 218
383, 197
384, 199
385, 227
386, 212
387, 181
388, 201
389, 197
390, 207
391, 210
392, 211
393, 211
394, 193
395, 191
396, 211
397, 198
398, 228
399, 216
400, 197
401, 218
402, 213
403, 200
404, 222
405, 217
406, 208
407, 223
408, 187
409, 217
410, 187
411, 176
412, 195
413, 173
414, 210
415, 171
416, 192
417, 196
418, 168
419, 199
420, 202
421, 183
422, 184
423, 178
424, 202
425, 187
426, 210
427, 199
428, 203
429, 198
430, 189
431, 186
432, 178
433, 199
434, 185
435, 183
436, 185
437, 214
438, 199
439, 184
440, 154
441, 197
442, 188
443, 170
444, 226
445, 187
446, 196
447, 192
448, 180
449, 154
450, 211
451, 181
452, 205
453, 169
454, 195
455, 200
456, 188
457, 183
458, 191
459, 210
460, 190
461, 214
462, 203
463, 174
464, 168
465, 150
466, 202
467, 210
468, 184
469, 176
470, 186
471, 197
472, 177
473, 180
474, 188
475, 178
476, 160
477, 214
478, 158
479, 167
480, 167
481, 192
482, 175
483, 176
484, 160
485, 190
486, 156
487, 171
488, 149
489, 169
490, 175
491, 172
492, 178
493, 210
494, 172
495, 165
496, 172
497, 163
498, 170
499, 164
500, 179
501, 188
502, 173
503, 154
504, 176
505, 171
506, 196
507, 173
508, 175
509, 161
510, 165
511, 185
512, 143
513, 179
514, 172
515, 184
516, 179
517, 186
518, 147
519, 164
520, 161
521, 163
522, 168
523, 164
524, 152
525, 158
526, 179
527, 178
528, 168
529, 162
530, 166
531, 187
532, 179
533, 180
534, 168
535, 148
536, 139
537, 176
538, 206
539, 150
540, 158
541, 156
542, 167
543, 159
544, 170
545, 149
546, 165
547, 132
548, 149
549, 147
550, 157
551, 136
552, 143
553, 174
554, 176
555, 159
556, 151
557, 165
558, 159
559, 152
560, 166
561, 153
562, 161
563, 157
564, 165
565, 160
566, 158
567, 150
568, 148
569, 133
570, 159
571, 140
572, 136
573, 171
574, 158
575, 141
576, 177
577, 147
578, 153
579, 164
580, 150
581, 149
582, 144
583, 164
584, 150
585, 166
586, 191
587, 146
588, 141
589, 169
590, 158
591, 159
592, 166
593, 164
594, 194
595, 142
596, 155
597, 137
598, 162
599, 128
600, 152
601, 136
602, 172
603, 146
604, 153
605, 132
606, 179
607, 158
608, 154
609, 153
610, 144
611, 152
612, 131
613, 146
614, 160
615, 128
616, 146
617, 156
618, 157
619, 133
620, 154
621, 144
622, 152
623, 168
624, 133
625, 159
626, 163
627, 141
628, 140
629, 176
630, 152
631, 158
632, 167
633, 153
634, 163
635, 170
636, 123
637, 160
638, 147
639, 138
640, 130
641, 143
642, 143
643, 138
644, 138
645, 126
646, 131
647, 156
648, 122
649, 164
650, 156
651, 131
652, 143
653, 157
654, 143
655, 154
656, 129
657, 132
658, 142
659, 128
660, 148
661, 133
662, 140
663, 146
664, 124
665, 131
666, 157
667, 146
668, 134
669, 130
670, 164
671, 124
672, 120
673, 132
674, 126
675, 142
676, 145
677, 121
678, 134
679, 138
680, 143
681, 125
682, 138
683, 124
684, 154
685, 145
686, 153
687, 156
688, 134
689, 150
690, 151
691, 141
692, 121
693, 117
694, 129
695, 168
696, 153
697, 130
698, 137
699, 175
700, 136
701, 138
702, 157
703, 152
704, 113
705, 130
706, 153
707, 130
708, 136
709, 118
710, 135
711, 121
712, 127
713, 151
714, 140
715, 135
716, 135
717, 123
718, 111
719, 122
720, 111
721, 146
722, 147
723, 125
724, 150
725, 142
726, 130
727, 137
728, 141
729, 118
730, 158
731, 112
732, 137
733, 133
734, 138
735, 138
736, 127
737, 122
738, 135
739, 143
740, 129
741, 122
742, 129
743, 132
744, 118
745, 125
746, 125
747, 135
748, 117
749, 120
750, 120
751, 126
752, 114
753, 110
754, 113
755, 148
756, 130
757, 157
758, 127
759, 132
760, 146
761, 146
762, 131
763, 95
764, 113
765, 138
766, 111
767, 118
768, 103
769, 130
770, 132
771, 118
772, 118
773, 146
774, 123
775, 126
