Channel:,Lum
Means:,253.1712
Note: Peaks measured from 20% upward
Peaks:,171
PeaksLevels:,819
0, 0
1, 338
2, 993
3, 1890
4, 3960
5, 7899
6, 13755
7, 21728
8, 30297
9, 40035
10, 48800
11, 56210
12, 61349
13, 61467
14, 60271
15, 56927
16, 53115
17, 47152
18, 41511
19, 36810
20, 32205
21, 28247
22, 24222
23, 21378
24, 18010
25, 15807
26, 12843
27, 10767
28, 8934
29, 7394
30, 6124
31, 5119
32, 4330
33, 3571
34, 2991
35, 2529
36, 2163
37, 1985
38, 1701
39, 1517
40, 1423
41, 1332
42, 1240
43, 1148
44, 1094
45, 1055
46, 1062
47, 984
48, 1013
49, 992
50, 958
51, 846
52, 829
53, 810
54, 787
55, 783
56, 805
57, 817
58, 788
59, 746
60, 719
61, 803
62, 770
63, 741
64, 753
65, 721
66, 731
67, 725
68, 686
69, 700
70, 657
71, 681
72, 670
73, 675
74, 711
75, 656
76, 677
77, 692
78, 638
79, 585
80, 589
81, 622
82, 658
83, 580
84, 609
85, 607
86, 646
87, 605
88, 618
89, 586
90, 548
91, 585
92, 569
93, 555
94, 588
95, 558
96, 535
97, 556
98, 529
99, 505
100, 490
101, 519
102, 496
103, 483
104, 522
105, 515
106, 535
107, 481
108, 478
109, 501
110, 529
111, 481
112, 507
113, 503
114, 522
115, 503
116, 492
117, 505
118, 460
119, 494
120, 501
121, 474
122, 477
123, 482
124, 438
125, 469
126, 464
127, 471
128, 468
129, 462
130, 451
131, 481
132, 442
133, 465
134, 439
135, 438
136, 420
137, 485
138, 498
139, 456
140, 484
141, 446
142, 485
143, 406
144, 425
145, 406
146, 462
147, 379
148, 401
149, 441
150, 379
151, 420
152, 426
153, 443
154, 419
155, 432
156, 439
157, 405
158, 387
159, 390
160, 381
161, 416
162, 399
163, 357
164, 363
165, 386
166, 382
167, 393
168, 398
169, 380
170, 381
171, 381
172, 413
173, 356
174, 388
175, 371
176, 410
177, 399
178, 390
179, 371
180, 420
181, 398
182, 389
183, 365
184, 401
185, 375
186, 361
187, 340
188, 376
189, 367
190, 392
191, 359
192, 350
193, 371
194, 378
195, 377
196, 361
197, 339
198, 333
199, 377
200, 361
201, 353
202, 370
203, 363
204, 333
205, 351
206, 366
207, 341
208, 361
209, 351
210, 349
211, 316
212, 349
213, 360
214, 345
215, 341
216, 303
217, 364
218, 337
219, 342
220, 322
221, 363
222, 319
223, 308
224, 275
225, 316
226, 322
227, 337
228, 324
229, 340
230, 321
231, 319
232, 324
233, 297
234, 279
235, 296
236, 322
237, 320
238, 323
239, 321
240, 335
241, 330
242, 338
243, 313
244, 336
245, 310
246, 335
247, 291
248, 307
249, 338
250, 324
251, 293
252, 317
253, 326
254, 321
255, 308
256, 324
257, 330
258, 315
259, 302
260, 303
261, 295
262, 311
263, 301
264, 307
265, 304
266, 298
267, 294
268, 304
269, 324
270, 285
271, 298
272, 300
273, 296
274, 312
275, 325
276, 284
277, 272
278, 282
279, 282
280, 297
281, 309
282, 277
283, 301
284, 253
285, 295
286, 290
287, 272
288, 290
289, 252
290, 318
291, 271
292, 262
293, 260
294, 296
295, 274
296, 229
297, 267
298, 252
299, 264
300, 271
301, 278
302, 269
303, 265
304, 297
305, 244
306, 301
307, 268
308, 243
309, 299
310, 276
311, 287
312, 254
313, 282
314, 259
315, 277
316, 280
317, 289
318, 308
319, 248
320, 280
321, 279
322, 280
323, 253
324, 259
325, 261
326, 289
327, 264
328, 270
329, 240
330, 272
331, 287
332, 236
333, 282
334, 246
335, 232
336, 266
337, 263
338, 258
339, 255
340, 276
341, 262
342, 266
343, 268
344, 256
345, 253
346, 269
347, 254
348, 250
349, 256
350, 257
351, 251
352, 267
353, 240
354, 265
355, 232
356, 245
357, 283
358, 263
359, 260
360, 232
361, 246
362, 251
363, 226
364, 271
365, 250
366, 258
367, 249
368, 242
369, 228
370, 238
371, 224
372, 238
373, 262
374, 236
375, 216
376, 254
377, 239
378, 254
379, 230
380, 248
381, 224
382, 225
383, 242
384, 233
385, 266
386, 246
387, 230
388, 245
389, 253
390, 248
391, 225
392, 247
393, 229
394, 250
395, 231
396, 242
397, 250
398, 221
399, 227
400, 222
401, 244
402, 223
403, 238
404, 225
405, 260
406, 231
407, 210
408, 208
409, 222
410, 204
411, 232
412, 207
413, 242
414, 254
415, 213
416, 200
417, 239
418, 200
419, 214
420, 217
421, 203
422, 205
423, 219
424, 234
425, 207
426, 226
427, 212
428, 251
429, 229
430, 247
431, 226
432, 234
433, 206
434, 244
435, 199
436, 216
437, 234
438, 209
439, 215
440, 209
441, 235
442, 235
443, 229
444, 223
445, 232
446, 203
447, 204
448, 204
449, 206
450, 238
451, 204
452, 233
453, 230
454, 218
455, 185
456, 223
457, 232
458, 223
459, 190
460, 183
461, 214
462, 222
463, 198
464, 214
465, 210
466, 201
467, 191
468, 185
469, 197
470, 192
471, 201
472, 194
473, 225
474, 204
475, 198
476, 206
477, 206
478, 203
479, 213
480, 207
481, 211
482, 218
483, 198
484, 179
485, 216
486, 221
487, 215
488, 173
489, 218
490, 207
491, 216
492, 190
493, 213
494, 192
495, 187
496, 209
497, 210
498, 202
499, 207
500, 225
501, 211
502, 214
503, 203
504, 206
505, 198
506, 185
507, 188
508, 203
509, 186
510, 205
511, 172
512, 160
513, 189
514, 188
515, 218
516, 185
517, 188
518, 187
519, 217
520, 181
521, 189
522, 219
523, 201
524, 196
525, 175
526, 184
527, 186
528, 210
529, 193
530, 193
531, 176
532, 180
533, 197
534, 191
535, 164
536, 203
537, 204
538, 188
539, 204
540, 172
541, 188
542, 180
543, 164
544, 198
545, 166
546, 182
547, 162
548, 170
549, 161
550, 198
551, 216
552, 173
553, 187
554, 176
555, 174
556, 208
557, 189
558, 177
559, 149
560, 173
561, 178
562, 184
563, 179
564, 183
565, 203
566, 195
567, 178
568, 168
569, 172
570, 186
571, 176
572, 175
573, 174
574, 190
575, 194
576, 165
577, 172
578, 209
579, 179
580, 177
581, 178
582, 174
583, 207
584, 183
585, 186
586, 199
587, 165
588, 159
589, 174
590, 179
591, 179
592, 173
593, 170
594, 176
595, 169
596, 164
597, 193
598, 169
599, 197
600, 178
601, 195
602, 197
