Channel:,Lum
Means:,328.6558
Note: Peaks measured from 20% upward
Peaks:,156
PeaksLevels:,841
0, 0
1, 3178
2, 9180
3, 15454
4, 26968
5, 42013
6, 59302
7, 72634
8, 79829
9, 82202
10, 77285
11, 68039
12, 58018
13, 48051
14, 40125
15, 33042
16, 25870
17, 20801
18, 16817
19, 13687
20, 11255
21, 9077
22, 7605
23, 6293
24, 5185
25, 4275
26, 3599
27, 3056
28, 2560
29, 2167
30, 1976
31, 1811
32, 1598
33, 1432
34, 1320
35, 1230
36, 1098
37, 1040
38, 975
39, 930
40, 906
41, 856
42, 877
43, 791
44, 732
45, 800
46, 834
47, 725
48, 662
49, 679
50, 683
51, 628
52, 655
53, 647
54, 610
55, 634
56, 584
57, 612
58, 613
59, 608
60, 617
61, 573
62, 594
63, 559
64, 607
65, 596
66, 598
67, 520
68, 546
69, 522
70, 514
71, 555
72, 518
73, 503
74, 584
75, 514
76, 526
77, 495
78, 488
79, 490
80, 525
81, 486
82, 474
83, 512
84, 504
85, 465
86, 483
87, 455
88, 451
89, 480
90, 479
91, 474
92, 450
93, 455
94, 452
95, 491
96, 457
97, 419
98, 459
99, 456
100, 430
101, 417
102, 440
103, 437
104, 422
105, 422
106, 403
107, 398
108, 424
109, 403
110, 440
111, 417
112, 379
113, 425
114, 366
115, 369
116, 391
117, 428
118, 396
119, 388
120, 371
121, 398
122, 360
123, 398
124, 342
125, 361
126, 366
127, 363
128, 409
129, 369
130, 358
131, 351
132, 373
133, 339
134, 391
135, 387
136, 385
137, 379
138, 399
139, 369
140, 344
141, 346
142, 387
143, 372
144, 340
145, 343
146, 339
147, 355
148, 341
149, 316
150, 367
151, 357
152, 345
153, 335
154, 311
155, 303
156, 334
157, 326
158, 373
159, 357
160, 319
161, 353
162, 333
163, 334
164, 286
165, 300
166, 347
167, 330
168, 314
169, 320
170, 317
171, 292
172, 305
173, 311
174, 340
175, 330
176, 300
177, 288
178, 299
179, 293
180, 354
181, 308
182, 313
183, 300
184, 310
185, 315
186, 312
187, 300
188, 287
189, 274
190, 314
191, 309
192, 274
193, 293
194, 330
195, 298
196, 311
197, 305
198, 326
199, 314
200, 279
201, 278
202, 293
203, 277
204, 302
205, 273
206, 267
207, 301
208, 288
209, 279
210, 304
211, 287
212, 299
213, 275
214, 263
215, 273
216, 296
217, 271
218, 274
219, 277
220, 290
221, 291
222, 291
223, 279
224, 257
225, 248
226, 265
227, 289
228, 272
229, 247
230, 278
